feature,mean_abs_shap
contact_unknown,0.09709979109735485
housing_no,0.06462477468016349
balance,0.029554137189904277
campaign,0.019429544999492124
marital_married,0.01486320526777065
poutcome_success,0.01390374913758564
pdays,0.01079799737120062
month_apr,0.009359855374437114
month_jun,0.008975092605127317
marital_single,0.008491504416360067
age,0.00809175909769088
housing_yes,0.007928670225058389
previous,0.006942779693434158
month_oct,0.006406858121149241
contact_cellular,0.00449064455539945
loan_no,0.0020783704622185433
month_mar,0.001951939002498934
month_may,0.0009217351956943467
contact_telephone,0.000893692445058292
day,0.0006262254868515214
poutcome_failure,0.000539741846580184
month_jul,0.00044616922878462536
poutcome_unknown,0.0004277439642043295
loan_yes,0.00040473185553804224
marital_divorced,0.0003086425488543585
poutcome_other,0.00022313193198218888
month_aug,0.00017358313315047979
month_jan,0.00017250915447291856
job_technician,0.0001664200613152435
education_tertiary,9.412748729208073e-05
month_sep,8.519958268748951e-05
job_retired,6.693006831975487e-05
month_feb,1.8693519964606167e-05
job_entrepreneur,1.4949678414918994e-05
education_primary,9.751577328893053e-06
month_nov,9.382003021243348e-06
job_admin.,8.852660950320124e-06
education_unknown,7.141271028140101e-06
job_management,6.874591169018877e-06
job_unemployed,6.550775530498859e-06
job_student,5.51435015199831e-06
education_secondary,5.427081968985938e-06
job_unknown,4.606827566369001e-06
job_blue-collar,2.5323713844901306e-06
job_self-employed,1.8707904139300712e-06
job_housemaid,7.385016313025016e-07
job_services,5.575767114052537e-07
month_dec,1.081582790121797e-07
default_no,4.927673144008539e-08
default_yes,0.0
